Unscheduled_ARR;Unscheduled_DEP;Domestic_ARR;Domestic_DEP;Regional_ARR;Regional_DEP;International_ARR;International_DEP;Total_ARR;Total_DEP;
816;707;4127;4170;747;783;2671;2687;8361;8347;
824;1054;4158;4170;805;802;2728;2484;8515;8510;
900;637;3924;4095;783;827;2691;2687;8298;8246;
793;1004;4170;4175;829;831;2817;2570;8609;8580;
881;708;4170;4298;840;863;2831;2838;8722;8707;
789;988;3982;4003;820;817;2722;2496;8313;8304;
911;1120;4273;4292;872;867;2883;2613;8939;8892;
891;1080;3818;3838;825;820;2751;2506;8285;8244;
701;934;3751;3758;722;716;2779;2553;7953;7961;
796;953;3792;3815;744;740;2688;2507;8020;8015;
866;1038;3548;3567;707;703;2493;2293;7614;7601;
847;1064;3982;3993;779;779;2770;2552;8378;8388;
893;1095;3942;3939;786;788;2717;2515;8338;8337;
851;1070;3999;4009;827;826;2918;2683;8595;8588;
767;1005;3801;3817;793;791;2846;2616;8207;8229;
975;1181;4034;4049;819;814;2993;2757;8821;8801;
902;1086;4018;4023;834;835;2992;2777;8746;8721;
789;986;3922;3927;817;815;2881;2674;8409;8402;
1029;1230;4140;4145;846;848;3011;2778;9026;9001;
886;1059;4125;4132;819;819;2932;2715;8762;8725;
862;1048;3970;3995;723;724;2946;2758;8501;8525;
841;998;4099;4127;781;786;2921;2741;8642;8652;
836;1009;3965;3983;801;799;2657;2461;8259;8252;
914;1102;4306;4321;859;858;2956;2748;9035;9029;
1187;1195;4190;4197;876;874;2662;2660;8915;8926;
1180;1179;4210;4218;904;902;2726;2729;9020;9028;
1095;1050;4208;4222;911;910;2652;2652;8866;8834;
1165;1318;4447;4393;980;968;2851;2770;9443;9449;
1249;1223;4379;4393;951;949;2834;2828;9413;9393;
1173;1171;4246;4276;911;911;2718;2722;9048;9080;
1243;1206;4661;4690;901;903;2832;2825;9637;9624;
1184;1189;4313;4350;864;860;2746;2734;9107;9133;
1071;1050;4166;4190;746;747;2818;2819;8801;8806;
957;952;4163;4185;782;793;2798;2799;8700;8729;
934;913;4038;4061;830;825;2523;2521;8325;8320;
1052;1041;4700;4716;935;931;2830;2825;9517;9513;
1156;1036;4384;4401;891;894;2787;2790;9218;9121;
1048;1014;4564;4601;955;961;2821;2818;9388;9394;
1071;1033;4424;4456;891;891;2739;2743;9125;9123;
1207;1182;4758;4785;915;915;2870;2871;9750;9753;
1215;1187;4573;4590;914;917;2824;2818;9526;9512;
1111;1083;4608;4638;883;886;2757;2753;9359;9360;
1158;1089;4862;4906;927;926;2907;2898;9854;9819;
1141;1128;4761;4788;934;933;2625;2619;9461;9468;
1098;1056;4542;4561;783;785;2682;2697;9105;9099;
948;924;4482;4510;832;834;2662;2655;8924;8923;
1079;1002;4457;4506;865;870;2552;2543;8953;8921;
1110;1082;4775;4809;890;890;2739;2740;9514;9521;
1098;1056;4497;4527;872;867;2709;2707;9176;9157;
1076;1022;4646;4704;897;897;2793;2787;9412;9410;
259;273;4470;4541;860;861;2677;2671;8266;8346;
1299;1261;4637;4718;921;918;2775;2767;9632;9664;
1183;1135;4601;4660;948;937;2814;2811;9546;9543;
1105;1053;4620;4689;916;915;2751;2744;9392;9401;
1191;1140;4724;4780;937;938;2834;2829;9686;9687;
1051;1012;4675;4700;908;919;2728;2741;9362;9372;
1032;978;4453;4492;770;779;2748;2761;9003;9010;
960;926;4461;4496;810;818;2761;2762;8992;9002;
881;855;4275;4317;804;804;2496;2504;8456;8480;
1082;1059;4725;4765;885;888;2772;2763;9464;9475;
1047;1015;4434;4480;829;829;2706;2702;9016;9026;
1050;1018;4679;4706;893;893;2804;2794;9426;9411;
1083;1061;4455;4512;864;867;2708;2708;9110;9148;
1163;1135;4654;4702;910;910;2848;2836;9575;9583;
1200;1105;4682;4768;899;904;2891;2890;9672;9667;
1035;999;4510;4556;870;869;2793;2776;9208;9200;
1181;1144;4708;4759;897;898;2858;2848;9644;9649;
1316;1268;4536;4594;866;866;2744;2727;9462;9455;
1090;1105;4418;4477;770;772;2769;2747;9047;9101;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
